"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","group"
"GO:0099633","GO:0099633","protein localization to postsynaptic specialization membrane","4/226","33/12463",0.00285159842677288,0.0373729841370187,0.0301304878876897,"72978/23859/545156/23888",4,1
"GO:0099645","GO:0099645","neurotransmitter receptor localization to postsynaptic specialization membrane","4/226","33/12463",0.00285159842677288,0.0373729841370187,0.0301304878876897,"72978/23859/545156/23888",4,1
"GO:0008347","GO:0008347","glial cell migration","5/226","54/12463",0.00288047092755342,0.0373729841370187,0.0301304878876897,"21844/12527/14268/19283/494504",5,1
"GO:0021879","GO:0021879","forebrain neuron differentiation","5/226","54/12463",0.00288047092755342,0.0373729841370187,0.0301304878876897,"18186/20346/212712/67263/268902",5,1
"GO:0061333","GO:0061333","renal tubule morphogenesis","5/226","54/12463",0.00288047092755342,0.0373729841370187,0.0301304878876897,"17260/19206/18514/12043/269152",5,1
"GO:0060079","GO:0060079","excitatory postsynaptic potential","6/226","78/12463",0.00288262529879576,0.0373729841370187,0.0301304878876897,"17260/320127/116838/192167/13048/20238",6,1
"GO:0001763","GO:0001763","morphogenesis of a branching structure","9/226","163/12463",0.00289687693276273,0.0373937476560989,0.030147227652378,"19206/18186/16842/13841/20346/18514/104156/94109/12043",9,1
"GO:0035637","GO:0035637","multicellular organismal signaling","7/226","105/12463",0.00297340851813497,0.0381239437357024,0.0307359193140197,"319504/12293/18213/109676/56543/20541/14167",7,1
"GO:0045927","GO:0045927","positive regulation of growth","11/226","228/12463",0.00297923917555726,0.0381239437357024,0.0307359193140197,"17260/18186/16842/18213/116838/22762/14268/211323/238161/12043/17967",11,1
"GO:0030278","GO:0030278","regulation of ossification","9/226","164/12463",0.00301795706411239,0.0384529356961906,0.031001156048777,"17260/114584/19206/16449/72007/18514/20541/19242/12043",9,1
"GO:0001503","GO:0001503","ossification","12/226","264/12463",0.00318555749155912,0.0401441372828478,0.0323646203291673,"17260/114584/19206/16449/233781/212712/72007/18514/20541/19242/12043/70661",12,1
"GO:0003179","GO:0003179","heart valve morphogenesis","4/226","34/12463",0.0031864980209936,0.0401441372828478,0.0323646203291673,"17260/16449/22762/268902",4,1
"GO:0048732","GO:0048732","gland development","13/226","299/12463",0.0031914317528651,0.0401441372828478,0.0323646203291673,"71371/19206/18186/16842/20346/16438/18028/18514/545156/104156/94109/19242/12043",13,1
"GO:0032412","GO:0032412","regulation of ion transmembrane transporter activity","10/226","198/12463",0.00329529866889247,0.0411818658735434,0.0332012478946308,"17260/72978/12293/109676/18750/19091/269994/192167/238161/14167",10,1
"GO:0035235","GO:0035235","ionotropic glutamate receptor signaling pathway","3/226","17/12463",0.0033157253308198,0.0411818658735434,0.0332012478946308,"21844/14800/545156",3,1
"GO:1900746","GO:1900746","regulation of vascular endothelial growth factor signaling pathway","3/226","17/12463",0.0033157253308198,0.0411818658735434,0.0332012478946308,"20358/330119/21413",3,1
"GO:0031644","GO:0031644","regulation of nervous system process","8/226","136/12463",0.00333363164882369,0.041231025748631,0.0332408810963965,"116838/268860/211323/192167/13048/23945/14167/17967",8,1
"GO:0002027","GO:0002027","regulation of heart rate","5/226","56/12463",0.00337904084767433,0.041445828820437,0.0334140575633749,"20346/12293/109676/56543/20541",5,1
"GO:0014032","GO:0014032","neural crest cell development","5/226","56/12463",0.00337904084767433,0.041445828820437,0.0334140575633749,"20358/18186/16449/20346/214968",5,1
"GO:0007612","GO:0007612","learning","8/226","137/12463",0.00348645940334114,0.0425866694061009,0.0343338150898841,"17536/11980/210933/320127/545156/94109/20238/19242",8,1
"GO:0050918","GO:0050918","positive chemotaxis","4/226","35/12463",0.00354724657675466,0.0429740200036344,0.034646101163816,"18186/18213/18750/19271",4,1
"GO:0061005","GO:0061005","cell differentiation involved in kidney development","4/226","35/12463",0.00354724657675466,0.0429740200036344,0.034646101163816,"17260/19206/16449/70350",4,1
"GO:1903035","GO:1903035","negative regulation of response to wounding","5/226","57/12463",0.00365030302083341,0.0440212191869909,0.0354903640194243,"12527/233781/19091/268860/208936",5,1
"GO:0010811","GO:0010811","positive regulation of cell-substrate adhesion","7/226","109/12463",0.0036634708795669,0.0440212191869909,0.0354903640194243,"12317/18186/16403/14268/68732/19242/19271",7,1
"GO:0048643","GO:0048643","positive regulation of skeletal muscle tissue development","3/226","18/12463",0.00392610725736747,0.0465492063128805,0.0375284534906208,"17260/11865/12043",3,1
"GO:0060045","GO:0060045","positive regulation of cardiac muscle cell proliferation","3/226","18/12463",0.00392610725736747,0.0465492063128805,0.0375284534906208,"17260/22762/17967",3,1
"GO:1901018","GO:1901018","positive regulation of potassium ion transmembrane transporter activity","3/226","18/12463",0.00392610725736747,0.0465492063128805,0.0375284534906208,"109676/19091/238161",3,1
"GO:0060999","GO:0060999","positive regulation of dendritic spine development","5/226","58/12463",0.00393684085866716,0.0465492063128805,0.0375284534906208,"21844/211323/192167/545156/13048",5,1
"GO:0007423","GO:0007423","sensory organ development","16/226","419/12463",0.00407732914533678,0.0480182667474722,0.0387128252675298,"13047/58998/18186/17536/16449/16842/70673/140919/234267/23965/18213/18514/12215/208936/19242/12043",16,1
"GO:0051048","GO:0051048","negative regulation of secretion","8/226","141/12463",0.00415283539352856,0.0487134183463113,0.0392732637048817,"66214/93691/19091/268860/209630/545156/331461/94090",8,1
"GO:00987421","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","21/168","143/12463",2.783293536333e-16,6.78010305450718e-13,5.42888728718426e-13,"12561/319504/11658/19876/23965/12563/320772/320873/19266/238205/11477/241568/215654/12552/23888/331461/270120/13131/23966/19281/12554",21,2
"GO:00986091","GO:0098609","cell-cell adhesion","32/168","498/12463",1.1289859911859e-13,1.05951190113031e-10,8.4836036331971e-11,"12561/16590/319504/11658/13383/19876/23965/18708/12563/320772/320873/11735/19266/238205/11477/241568/18750/23859/215654/12552/23888/331461/270120/208936/13131/23966/19281/14083/208650/17967/12554/269152",32,2
"GO:00508081","GO:0050808","synapse organization","29/168","406/12463",1.30481761222945e-13,1.05951190113031e-10,8.4836036331971e-11,"20370/17260/14401/319504/327814/11441/234267/18708/320772/14402/210933/70530/11735/19266/18027/238205/241568/18750/380702/103967/243499/12386/56747/23888/331461/21367/19242/108071/14083",29,2
"GO:00508071","GO:0050807","regulation of synapse organization","20/168","233/12463",4.22868510415444e-11,2.18558457988466e-08,1.7500165182466e-08,"17260/319504/327814/11441/234267/18708/320772/210933/70530/19266/238205/18750/380702/103967/243499/12386/23888/331461/19242/14083",20,2
"GO:00615641","GO:0061564","axon development","27/168","445/12463",4.48601104245621e-11,2.18558457988466e-08,1.7500165182466e-08,"12561/319504/11658/19876/12167/233781/11735/18028/214968/12801/241568/18750/229791/58208/13840/24001/12552/22253/12386/21367/23945/19283/19242/67263/13131/14083/17967",27,2
"GO:00508031","GO:0050803","regulation of synapse structure or activity","20/168","242/12463",8.40122273720598e-11,3.41089643130563e-08,2.73113433895486e-08,"17260/319504/327814/11441/234267/18708/320772/210933/70530/19266/238205/18750/380702/103967/243499/12386/23888/331461/19242/14083",20,2
"GO:00508041","GO:0050804","modulation of chemical synaptic transmission","25/168","431/12463",6.54212804932699e-10,2.09051297006363e-07,1.67389185616105e-07,"17260/16590/72555/20614/327814/14807/11441/70530/19266/12801/241568/18750/20979/380702/18795/12552/14800/21367/23945/19242/108071/14083/17967/18183/243764",25,2
"GO:00991771","GO:0099177","regulation of trans-synaptic signaling","25/168","432/12463",6.86539563239286e-10,2.09051297006363e-07,1.67389185616105e-07,"17260/16590/72555/20614/327814/14807/11441/70530/19266/12801/241568/18750/20979/380702/18795/12552/14800/21367/23945/19242/108071/14083/17967/18183/243764",25,2
"GO:00074091","GO:0007409","axonogenesis","24/168","407/12463",1.0729693700445e-09,2.63679624813618e-07,2.11130561221863e-07,"12561/319504/11658/19876/12167/11735/18028/214968/241568/18750/229791/58208/13840/24001/12552/22253/12386/21367/23945/19283/67263/13131/14083/17967",24,2
"GO:00074161","GO:0007416","synapse assembly","15/168","146/12463",1.08242867329071e-09,2.63679624813618e-07,2.11130561221863e-07,"17260/14401/234267/18708/320772/14402/210933/19266/238205/18750/103967/243499/23888/331461/14083",15,2
"GO:00347651","GO:0034765","regulation of ion transmembrane transport","22/168","351/12463",1.83561669331707e-09,4.06505660447308e-07,3.25492606001582e-07,"12290/17260/72555/13383/72978/24012/226922/20840/12293/11735/18750/12671/380702/16519/18795/269994/56543/20541/80334/53416/108071/269109",22,2
"GO:00076111","GO:0007611","learning or memory","18/168","232/12463",2.16846951057796e-09,4.11315588052003e-07,3.29343956728183e-07,"12290/17260/16590/20614/114142/11441/210933/268354/12801/18750/66797/18795/94109/21367/19283/19242/108071/17967",18,2
"GO:00508901","GO:0050890","cognition","19/168","261/12463",2.19503392638589e-09,4.11315588052003e-07,3.29343956728183e-07,"12290/17260/16590/20614/114142/11441/109205/210933/268354/12801/18750/66797/18795/94109/21367/19283/19242/108071/17967",19,2
"GO:00071561","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","11/168","77/12463",5.95696842904924e-09,1.03651250665457e-06,8.29944548799116e-07,"12561/319504/19876/23965/12563/320873/215654/12552/270120/19281/12554",11,2
"GO:00343291","GO:0034329","cell junction assembly","20/168","317/12463",9.51335594387808e-09,1.5449690052858e-06,1.23707007466709e-06,"17260/14401/13383/234267/18708/12563/320772/14402/320873/210933/19266/238205/18750/103967/243499/215654/12552/23888/331461/14083",20,2
"GO:00519631","GO:0051963","regulation of synapse assembly","11/168","90/12463",3.18941866675595e-08,4.85588992013594e-06,3.88815315098604e-06,"17260/18708/320772/210933/19266/238205/18750/243499/23888/331461/14083",11,2
"GO:00347621","GO:0034762","regulation of transmembrane transport","22/168","418/12463",4.42467600913266e-08,6.34030044602774e-06,5.076733526268e-06,"12290/17260/72555/13383/72978/24012/226922/20840/12293/11735/18750/12671/380702/16519/18795/269994/56543/20541/80334/53416/108071/269109",22,2
"GO:00069351","GO:0006935","chemotaxis","21/168","397/12463",8.45757347430157e-08,1.14459161018881e-05,9.16484423852679e-06,"12561/16590/319504/11658/19876/12167/11735/18028/214968/18750/58208/13840/22253/21367/19242/53416/67263/14083/17967/12554/18183",21,2
"GO:00423301","GO:0042330","taxis","21/168","400/12463",9.60821133019707e-08,1.2318738315979e-05,9.8637205511663e-06,"12561/16590/319504/11658/19876/12167/11735/18028/214968/18750/58208/13840/22253/21367/19242/53416/67263/14083/17967/12554/18183",21,2
"GO:00107691","GO:0010769","regulation of cell morphogenesis involved in differentiation","18/168","309/12463",1.83436160861745e-07,2.15092064365341e-05,1.72226080403153e-05,"12561/19876/327814/210933/19266/214968/241568/103967/24001/68732/331461/21367/23945/19283/67263/13131/14083/665113",18,2
"GO:00440571","GO:0044057","regulation of system process","21/168","417/12463",1.93445356576099e-07,2.15092064365341e-05,1.72226080403153e-05,"12290/17260/16590/72555/13383/11441/69642/18708/12293/18585/18750/12671/380702/56543/20541/23945/53416/23966/14083/17967/243764",21,2
"GO:00163581","GO:0016358","dendrite development","17/168","277/12463",1.95809036961167e-07,2.15092064365341e-05,1.72226080403153e-05,"20370/17260/19876/327814/11441/210933/19266/103967/12386/331461/270120/19283/239420/19242/68703/13131/665113",17,2
"GO:00226041","GO:0022604","regulation of cell morphogenesis","22/168","456/12463",2.03083640410626e-07,2.15092064365341e-05,1.72226080403153e-05,"12561/16590/13383/19876/327814/210933/19266/214968/241568/20979/103967/24001/68732/331461/21367/23945/19283/19242/67263/13131/14083/665113",22,2
"GO:0045161","GO:0045161","neuronal ion channel clustering","5/168","12/12463",3.07693632804578e-07,3.06276807082349e-05,2.4523849430628e-05,"319504/11735/66797/23859/21367",5,2
"GO:00076121","GO:0007612","learning","12/168","137/12463",3.14323488385005e-07,3.06276807082349e-05,2.4523849430628e-05,"12290/16590/20614/114142/11441/210933/268354/66797/94109/21367/19242/108071",12,2
"GO:00324121","GO:0032412","regulation of ion transmembrane transporter activity","14/168","198/12463",4.5296207423078e-07,4.24390620317761e-05,3.39813248400662e-05,"17260/72555/13383/72978/20840/12293/11735/18750/12671/380702/18795/269994/53416/108071",14,2
"GO:00074111","GO:0007411","axon guidance","14/168","203/12463",6.13133584132595e-07,5.46579588788652e-05,4.37651014616443e-05,"12561/319504/11658/19876/12167/11735/18028/214968/58208/13840/22253/21367/67263/17967",14,2
"GO:00228981","GO:0022898","regulation of transmembrane transporter activity","14/168","204/12463",6.50689986653158e-07,5.46579588788652e-05,4.37651014616443e-05,"17260/72555/13383/72978/20840/12293/11735/18750/12671/380702/18795/269994/53416/108071",14,2
"GO:00974851","GO:0097485","neuron projection guidance","14/168","204/12463",6.50689986653158e-07,5.46579588788652e-05,4.37651014616443e-05,"12561/319504/11658/19876/12167/11735/18028/214968/58208/13840/22253/21367/67263/17967",14,2
"GO:00507731","GO:0050773","regulation of dendrite development","13/168","179/12463",8.74749222010228e-07,7.10296368272305e-05,5.68740459082439e-05,"20370/17260/19876/327814/210933/19266/103967/331461/270120/19283/239420/19242/665113",13,2
"GO:00324091","GO:0032409","regulation of transporter activity","14/168","212/12463",1.03379827534498e-06,8.12365354432382e-05,6.50467981057473e-05,"17260/72555/13383/72978/20840/12293/11735/18750/12671/380702/18795/269994/53416/108071",14,2
"GO:00072151","GO:0007215","glutamate receptor signaling pathway","9/168","83/12463",1.65894038329315e-06,0.000126286836678191,0.000101118964810599,"17260/72555/72978/14807/380702/18795/269994/14800/108071",9,2
"GO:00080381","GO:0008038","neuron recognition","7/168","46/12463",2.45395302685241e-06,0.000181146350709469,0.000145045453229905,"319504/19876/12801/66797/21367/19283/17967",7,2
"GO:1904062","GO:1904062","regulation of cation transmembrane transport","15/168","262/12463",2.52991054898049e-06,0.000181260649921073,0.000145136973599407,"17260/72555/13383/72978/24012/20840/12293/11735/380702/18795/269994/20541/80334/53416/269109",15,2
"GO:00488131","GO:0048813","dendrite morphogenesis","12/168","169/12463",2.96175583471204e-06,0.000202594592009597,0.000162219245957041,"19876/327814/11441/210933/19266/103967/12386/331461/19283/19242/68703/665113",12,2
"GO:0099072","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","9/168","89/12463",2.9940087489103e-06,0.000202594592009597,0.000162219245957041,"13383/72978/20614/380702/103967/269994/23859/23888/665113",9,2
"GO:00971201","GO:0097120","receptor localization to synapse","8/168","70/12463",4.28038658382142e-06,0.000280716971488404,0.000224772512387871,"13383/72978/20614/380702/23859/23888/77531/665113",8,2
"GO:00996331","GO:0099633","protein localization to postsynaptic specialization membrane","6/168","33/12463",4.49423722826262e-06,0.000280716971488404,0.000224772512387871,"13383/72978/380702/23859/23888/665113",6,2
"GO:00996451","GO:0099645","neurotransmitter receptor localization to postsynaptic specialization membrane","6/168","33/12463",4.49423722826262e-06,0.000280716971488404,0.000224772512387871,"13383/72978/380702/23859/23888/665113",6,2
"GO:00071571","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","6/168","35/12463",6.44105325266604e-06,0.000392260143087362,0.000314086096768162,"12561/11658/23965/19266/331461/23966",6,2
"GO:1903539","GO:1903539","protein localization to postsynaptic membrane","7/168","56/12463",9.49524082133896e-06,0.000564156259531261,0.000451724807238539,"13383/72978/20614/380702/23859/23888/665113",7,2
"GO:00970901","GO:0097090","presynaptic membrane organization","4/168","11/12463",9.76571298978727e-06,0.000566411353407661,0.000453530480453028,"19266/243499/331461/21367",4,2
"GO:20003111","GO:2000311","regulation of AMPA receptor activity","5/168","23/12463",1.15917875768077e-05,0.000656688245048923,0.000525815970130349,"17260/72555/72978/380702/269994",5,2
"GO:19018881","GO:1901888","regulation of cell junction assembly","11/168","163/12463",1.25853434338319e-05,0.00069677037738215,0.000557910080930397,"17260/18708/320772/210933/19266/238205/18750/243499/23888/331461/14083",11,2
"GO:00017641","GO:0001764","neuron migration","11/168","164/12463",1.33347353016356e-05,0.000721853670995209,0.000577994491553937,"17260/234267/212712/12386/270120/21367/19283/67263/13131/14083/18183",11,2
"GO:0062237","GO:0062237","protein localization to postsynapse","7/168","61/12463",1.6880424386861e-05,0.000893928561008551,0.000715776347571016,"13383/72978/20614/380702/23859/23888/665113",7,2
"GO:0016339","GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","5/168","25/12463",1.79077264116893e-05,0.000928153649763302,0.000743180672807622,"12563/320873/215654/12552/12554",5,2
"GO:00080151","GO:0008015","blood circulation","15/168","309/12463",1.85166712716045e-05,0.000939721067033929,0.000752442804085157,"12290/13383/11441/18708/12293/12801/18750/12671/78286/56543/20541/23945/53416/14083/243764",15,2
"GO:00423911","GO:0042391","regulation of membrane potential","16/168","349/12463",1.95970572443456e-05,0.000974253703004611,0.000780093385043447,"20370/17260/14401/319504/13383/72978/24012/14807/11441/12293/14402/11735/12801/56543/20541/19242",16,2
"GO:00507691","GO:0050769","positive regulation of neurogenesis","19/168","476/12463",2.23772687564597e-05,0.00109022053381472,0.000872949031699367,"12561/20370/17260/16590/19876/23965/75769/19266/12801/20979/21413/24001/331461/19283/19242/13131/23966/108071/14083",19,2
"GO:00080371","GO:0008037","cell recognition","8/168","88/12463",2.37303717779141e-05,0.00113347422845096,0.000907582639927243,"319504/13383/19876/12801/66797/21367/19283/17967",8,2
"GO:00080161","GO:0008016","regulation of heart contraction","9/168","116/12463",2.63275915919644e-05,0.00123334640611587,0.000987551158297772,"12290/13383/11441/18708/12293/18750/56543/20541/243764",9,2
"GO:00030131","GO:0003013","circulatory system process","15/168","325/12463",3.3339622353197e-05,0.00153236452929034,0.00122697756147913,"12290/13383/11441/18708/12293/12801/18750/12671/78286/56543/20541/23945/53416/14083/243764",15,2
"GO:00995601","GO:0099560","synaptic membrane adhesion","5/168","29/12463",3.83188417243342e-05,0.00169982779551659,0.00136106685035531,"320772/19266/238205/241568/23888",5,2
"GO:0035418","GO:0035418","protein localization to synapse","8/168","94/12463",3.83787063848163e-05,0.00169982779551659,0.00136106685035531,"13383/72978/20614/380702/23859/23888/77531/665113",8,2
"GO:19035221","GO:1903522","regulation of blood circulation","10/168","152/12463",3.92115291803669e-05,0.00170570151934596,0.00136576999194022,"12290/13383/11441/18708/12293/18750/12671/56543/20541/243764",10,2
"GO:0042551","GO:0042551","neuron maturation","6/168","49/12463",4.74779177594039e-05,0.00202044347376861,0.00161778660309966,"319504/210933/11735/66797/23859/21367",6,2
"GO:0007269","GO:0007269","neurotransmitter secretion","10/168","156/12463",4.89352072874991e-05,0.00202044347376861,0.00161778660309966,"17260/20614/327814/11441/18750/20979/27062/19276/54524/243764",10,2
"GO:0099643","GO:0099643","signal release from synapse","10/168","156/12463",4.89352072874991e-05,0.00202044347376861,0.00161778660309966,"17260/20614/327814/11441/18750/20979/27062/19276/54524/243764",10,2
"GO:19007461","GO:1900746","regulation of vascular endothelial growth factor signaling pathway","4/168","17/12463",6.61122488138539e-05,0.00268415730184247,0.00214922801845739,"19876/320924/330119/21413",4,2
"GO:1905475","GO:1905475","regulation of protein localization to membrane","10/168","162/12463",6.73450140100477e-05,0.00268938449390945,0.00215341347645588,"13383/20840/18708/11735/380702/23888/68617/19242/269109/665113",10,2
"GO:0030501","GO:0030501","positive regulation of bone mineralization","5/168","33/12463",7.33169222322589e-05,0.00288064552512553,0.00230655784204373,"17260/12167/11477/20541/19242",5,2
"GO:0021700","GO:0021700","developmental maturation","12/168","234/12463",7.73857890217951e-05,0.00299225050884274,0.00239592091992291,"20370/319504/233781/210933/11735/18027/66797/18795/23859/56747/21367/68703",12,2
"GO:00488141","GO:0048814","regulation of dendrite morphogenesis","8/168","105/12463",8.48071420804996e-05,0.00316891310174738,0.00253737618941228,"19876/327814/210933/19266/103967/331461/19283/665113",8,2
"GO:0098926","GO:0098926","postsynaptic signal transduction","5/168","34/12463",8.50272986428343e-05,0.00316891310174738,0.00253737618941228,"11441/12671/18795/77531/243764",5,2
"GO:0003012","GO:0003012","muscle system process","13/168","274/12463",8.58572515251754e-05,0.00316891310174738,0.00253737618941228,"17260/16590/13383/69642/20840/12293/18585/18750/12671/56543/20541/14083/243764",13,2
"GO:20012571","GO:2001257","regulation of cation channel activity","9/168","136/12463",9.1881088530699e-05,0.00329842003003382,0.00264107350948607,"17260/72555/13383/72978/20840/12293/11735/380702/269994",9,2
"GO:00519651","GO:0051965","positive regulation of synapse assembly","6/168","55/12463",9.20741223490558e-05,0.00329842003003382,0.00264107350948607,"18708/210933/19266/18750/243499/331461",6,2
"GO:0070169","GO:0070169","positive regulation of biomineral tissue development","5/168","35/12463",9.81250062078623e-05,0.00341475021603361,0.00273422009779201,"17260/12167/11477/20541/19242",5,2
"GO:0110151","GO:0110151","positive regulation of biomineralization","5/168","35/12463",9.81250062078623e-05,0.00341475021603361,0.00273422009779201,"17260/12167/11477/20541/19242",5,2
"GO:00313461","GO:0031346","positive regulation of cell projection organization","16/168","400/12463",0.000100311192812792,0.00344166289706988,0.00275576931478286,"12561/20370/16590/19876/234267/23965/75769/19266/12801/20979/103967/24001/68732/331461/19283/19242",16,2
"GO:00020271","GO:0002027","regulation of heart rate","6/168","56/12463",0.000101983588132381,0.00345044473181223,0.00276280100598396,"12290/11441/18708/12293/56543/20541",6,2
"GO:0095500","GO:0095500","acetylcholine receptor signaling pathway","4/168","19/12463",0.000105424475134991,0.00347045974903835,0.00277882720377152,"11441/12671/18795/243764",4,2
"GO:1902547","GO:1902547","regulation of cellular response to vascular endothelial growth factor stimulus","4/168","19/12463",0.000105424475134991,0.00347045974903835,0.00277882720377152,"19876/320924/330119/21413",4,2
"GO:0071805","GO:0071805","potassium ion transmembrane transport","9/168","139/12463",0.000108682391882835,0.00353000408835447,0.00282650487240551,"13383/24012/226922/11735/16519/56543/80334/53416/269109",9,2
"GO:0098660","GO:0098660","inorganic ion transmembrane transport","18/168","493/12463",0.00011702830259225,0.00375106506729895,0.00300351031445206,"12290/14401/13383/24012/22066/226922/20840/12293/14402/11735/16519/18795/56543/20541/80334/53416/108071/269109",18,2
"GO:0090257","GO:0090257","regulation of muscle system process","10/168","174/12463",0.000122241882674497,0.00386728865188409,0.00309657154608124,"17260/16590/13383/69642/18585/18750/12671/20541/14083/243764",10,2
"GO:00219531","GO:0021953","central nervous system neuron differentiation","10/168","176/12463",0.000134329176697181,0.00419520351838889,0.00335913582213059,"19876/20678/212712/18028/18750/58208/12552/21367/67263/14083",10,2
"GO:00991731","GO:0099173","postsynapse organization","10/168","177/12463",0.00014074190695772,0.00433566722210985,0.00347160632727057,"319504/327814/11441/70530/19266/380702/103967/243499/331461/19242",10,2
"GO:00600471","GO:0060047","heart contraction","9/168","144/12463",0.000142386444075857,0.00433566722210985,0.00347160632727057,"12290/13383/11441/18708/12293/18750/56543/20541/243764",9,2
"GO:1905144","GO:1905144","response to acetylcholine","4/168","21/12463",0.000159397610281389,0.00473527534933491,0.00379157601863175,"11441/12671/18795/243764",4,2
"GO:1905145","GO:1905145","cellular response to acetylcholine","4/168","21/12463",0.000159397610281389,0.00473527534933491,0.00379157601863175,"11441/12671/18795/243764",4,2
"GO:1901379","GO:1901379","regulation of potassium ion transmembrane transport","6/168","61/12463",0.000164986382746746,0.0048422509442298,0.00387723230475232,"13383/24012/11735/80334/53416/269109",6,2
"GO:00991751","GO:0099175","regulation of postsynapse organization","8/168","116/12463",0.000170501091820992,0.00494453166280877,0.00395912936271051,"319504/327814/70530/19266/380702/103967/331461/19242",8,2
"GO:1902414","GO:1902414","protein localization to cell junction","8/168","117/12463",0.000180945511019006,0.00518568546873294,0.00415222330548878,"13383/72978/20614/380702/23859/23888/77531/665113",8,2
"GO:0016079","GO:0016079","synaptic vesicle exocytosis","8/168","118/12463",0.000191910605348122,0.00543597947241891,0.0043526358838442,"20614/327814/11441/18750/20979/27062/54524/243764",8,2
"GO:00507701","GO:0050770","regulation of axonogenesis","10/168","187/12463",0.000220396900186541,0.00617111320522314,0.00494126383600315,"12561/19876/214968/241568/24001/21367/23945/67263/13131/14083",10,2
"GO:00030151","GO:0003015","heart process","9/168","153/12463",0.000225059042753843,0.00623004350168593,0.00498844983520181,"12290/13383/11441/18708/12293/18750/56543/20541/243764",9,2
"GO:00074131","GO:0007413","axonal fasciculation","4/168","23/12463",0.000230926353953113,0.0062504066469976,0.00500475478216513,"12801/21367/19283/17967",4,2
"GO:01060301","GO:0106030","neuron projection fasciculation","4/168","23/12463",0.000230926353953113,0.0062504066469976,0.00500475478216513,"12801/21367/19283/17967",4,2
"GO:00456661","GO:0045666","positive regulation of neuron differentiation","15/168","389/12463",0.000247633401637307,0.00662895567459867,0.00530786226991243,"12561/20370/17260/19876/23965/75769/19266/12801/20979/21413/24001/331461/19283/19242/13131",15,2
"GO:00519661","GO:0051966","regulation of synaptic transmission, glutamatergic","6/168","66/12463",0.000255408487083007,0.00676277254928485,0.00541501060142807,"17260/14807/12801/20979/14800/108071",6,2
"GO:0048167","GO:0048167","regulation of synaptic plasticity","10/168","191/12463",0.000261450255451939,0.0067634583851709,0.00541555975616701,"17260/16590/72555/20614/11441/380702/21367/23945/19242/108071",10,2
"GO:00990541","GO:0099054","presynapse assembly","5/168","43/12463",0.000266732802006623,0.0067634583851709,0.00541555975616701,"320772/19266/238205/23888/331461",5,2
"GO:0099541","GO:0099541","trans-synaptic signaling by lipid","3/168","10/12463",0.000269316692677167,0.0067634583851709,0.00541555975616701,"12801/18795/108071",3,2
"GO:0099542","GO:0099542","trans-synaptic signaling by endocannabinoid","3/168","10/12463",0.000269316692677167,0.0067634583851709,0.00541555975616701,"12801/18795/108071",3,2
"GO:0099612","GO:0099612","protein localization to axon","3/168","10/12463",0.000269316692677167,0.0067634583851709,0.00541555975616701,"11735/66797/21367",3,2
"GO:00352491","GO:0035249","synaptic transmission, glutamatergic","7/168","94/12463",0.000273012667148382,0.00678631486911691,0.00543386114098766,"17260/72978/14807/12801/20979/14800/108071",7,2
"GO:0016311","GO:0016311","dephosphorylation","13/168","309/12463",0.00028198258994117,0.00693848069794637,0.00555570163913863,"17260/215821/72930/75769/19266/320472/229791/19279/19276/23859/272031/19283/19281",13,2
"GO:00068361","GO:0006836","neurotransmitter transport","10/168","196/12463",0.000321605780016045,0.00779122961899702,0.00623850509204108,"17260/20614/327814/11441/18750/20979/27062/19276/54524/243764",10,2
"GO:0048791","GO:0048791","calcium ion-regulated exocytosis of neurotransmitter","4/168","25/12463",0.000323035382396839,0.00779122961899702,0.00623850509204108,"20614/20979/27062/54524",4,2
"GO:0051668","GO:0051668","localization within membrane","7/168","98/12463",0.000352767096418012,0.008424908302689,0.00674589710694094,"13383/72978/380702/23859/243499/19242/12554",7,2
"GO:0007626","GO:0007626","locomotory behavior","10/168","201/12463",0.000392919338169379,0.00929273308524861,0.00744077193283454,"20370/12290/20614/109205/78286/56747/268890/21367/13131/108071",10,2
"GO:0050432","GO:0050432","catecholamine secretion","5/168","47/12463",0.000406998492754403,0.00953315700336275,0.00763328144811649,"11441/12801/20979/27062/54524",5,2
"GO:00015051","GO:0001505","regulation of neurotransmitter levels","10/168","203/12463",0.000424914522347181,0.0098580169184546,0.00789339959808849,"17260/20614/327814/11441/18750/20979/27062/19276/54524/243764",10,2
"GO:1900449","GO:1900449","regulation of glutamate receptor signaling pathway","5/168","48/12463",0.000449425011263768,0.0102344595866273,0.00819482050558307,"17260/72555/72978/380702/269994",5,2
"GO:0006813","GO:0006813","potassium ion transport","9/168","168/12463",0.000449543175603087,0.0102344595866273,0.00819482050558307,"13383/24012/226922/11735/16519/56543/80334/53416/269109",9,2
"GO:0030902","GO:0030902","hindbrain development","8/168","134/12463",0.000455791184452663,0.0102806233826545,0.00823178425722012,"20370/114142/18028/78286/12386/56747/68703/13131",8,2
